n02094433,3047,Yorkshire terrier,D
n02086240,2563,Shih-Tzu,D
n02087394,2449,Rhodesian ridgeback,D
n02100735,2426,English setter,D
n02100583,2334,"vizsla, Hungarian pointer",D
n02108915,2297,French bulldog,D
n02099849,2143,Chesapeake Bay retriever,D
n02093256,2070,"Staffordshire bullterrier, Staffordshire bull terrier",D
n02100399,2011,setter,D
n02113799,1956,standard poodle,D
n02107312,1884,miniature pinscher,D
n02099712,1846,Labrador retriever,D
n02110806,1845,basenji,D
n02113624,1833,toy poodle,D
n02088364,1788,beagle,D
n02108089,1777,boxer,D
n02085620,1750,Chihuahua,D
n02106662,1741,"German shepherd, German shepherd dog, German police dog, alsatian",D
n02092468,1741,terrier,D
n02092339,1722,Weimaraner,D
n02111277,1714,"Newfoundland, Newfoundland dog",D
n02088238,1660,"basset, basset hound",D
n02091134,1656,whippet,D
n02111889,1648,"Samoyed, Samoyede",D
n02107142,1646,"Doberman, Doberman pinscher",D
n02110063,1634,"malamute, malemute, Alaskan malamute",D
n02090827,1633,greyhound,D
n02099029,1629,retriever,D
n02105855,1620,"Shetland sheepdog, Shetland sheep dog, Shetland",D
n02112018,1613,Pomeranian,D
n02099601,1607,golden retriever,D
n02102318,1606,"cocker spaniel, English cocker spaniel, cocker",D
n02084071,1603,"dog, domestic dog, Canis familiaris",D
n02086079,1598,"Pekinese, Pekingese, Peke",D
n02101108,1588,spaniel,D
n02105162,1580,malinois,D
n02098105,1580,soft-coated wheaten terrier,D
n02109047,1575,Great Dane,D
n02098286,1574,West Highland white terrier,D
n02109525,1555,"Saint Bernard, St Bernard",D
n02093754,1545,Border terrier,D
n02109961,1542,"Eskimo dog, husky",D
n02109811,1536,"sled dog, sledge dog",D
n02101861,1519,"springer spaniel, springer",D
n02104365,1506,schipperke,D
n02098413,1497,"Lhasa, Lhasa apso",D
n02096585,1494,"Boston bull, Boston terrier",D
n02101388,1489,Brittany spaniel,D
n02108672,1480,"bulldog, English bulldog",D
n02104523,1478,"shepherd dog, sheepdog, sheep dog",D
n02106382,1470,"Bouvier des Flandres, Bouviers des Flandres",D
n02106166,1469,Border collie,D
n02106030,1460,collie,D
n02113186,1460,"Cardigan, Cardigan Welsh corgi",D
n02102040,1458,"English springer, English springer spaniel",D
n02089468,1445,"sausage dog, sausage hound",D
n02113023,1436,"Pembroke, Pembroke Welsh corgi",D
n02100877,1425,"Irish setter, red setter",D
n02095727,1424,Welsh terrier,D
n02108551,1419,Tibetan mastiff,D
n02110341,1414,"dalmatian, coach dog, carriage dog",
n02088839,1411,coonhound,D
n02086910,1406,papillon,D
n01322604,1386,puppy,D
n02094562,1386,"rat terrier, ratter",D
n02096756,1377,schnauzer,D
n02096177,1377,"cairn, cairn terrier",D
n02089232,1371,"dachshund, dachsie, badger dog",D
n02084861,1359,"cur, mongrel, mutt",D
n02111500,1358,Great Pyrenees,D
n02113335,1345,"poodle, poodle dog",D
n02099267,1342,flat-coated retriever,D
n02103406,1340,working dog,
n02112826,1338,"corgi, Welsh corgi",D
n02092002,1333,"Scottish deerhound, deerhound",D
n02093428,1329,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",D
n02105056,1329,groenendael,D
n02103841,1327,"watchdog, guard dog",D
n02097047,1324,miniature schnauzer,D
n02112350,1306,keeshond,D
n02097658,1303,"silky terrier, Sydney silky",D
n02110185,1296,Siberian husky,D
n02106966,1296,pinscher,D
